Year,Sex,Min degree,total,White,Black,Hispanic,Asian,Pacific Islander,American Indian/Alaska Native,Two or more races
1920,A,high school,---,22,6.3,---,---,---,---,---
1940,A,high school,38.1,41.2,12.3,---,---,---,---,---
1950,A,high school,52.8,56.3,23.6,---,---,---,---,---
1960,A,high school,60.7,63.7,38.6,---,---,---,---,---
1970,A,high school,75.4,77.8,58.4,---,---,---,---,---
1980,A,high school,85.4,89.2,76.7,58,---,---,---,---
1990,A,high school,85.7,90.1,81.7,58.2,---,---,---,---
1995,A,high school,86.8,92.5,86.7,57.1,---,---,81.5,---
2000,A,high school,88.1,94,86.8,62.8,---,---,79.2,---
2005,A,high school,86.2,92.8,87,63.3,95.5,99.5,80.2,91.4
2006,A,high school,86.4,93.4,86.3,63.2,96.6,93.4,79.8,89.3
2007,A,high school,87,93.5,87.7,65,97.5,86.2,84.5,90.5
2008,A,high school,87.8,93.7,87.5,68.3,95.8,97.5,86.7,94.2
2009,A,high school,88.6,94.6,88.9,68.9,95.8,91.6,81.1,88.5
2010,A,high school,88.8,94.5,89.6,69.4,94,89.7,89.9,88.5
2011,A,high school,89,94.4,88.1,71.5,95.3,98.3,84.9,90.7
2012,A,high school,89.7,94.6,88.5,75,96.1,98.6,84.5,92.8
2013,A,high school,89.9,94.1,90.3,75.8,95.4,95.5,84.7,97.4
2014,A,high school,90.8,95.6,91.9,74.7,96.6,96,83.9,96
2015,A,high school,91.2,95.4,92.5,77.1,95.8,87.2,86.7,94.9
2016,A,high school,91.7,95.2,91.1,80.6,96.8,94,84.5,94.8
2017,A,high school,92.5,95.6,92.3,82.7,96.8,90.1,84.6,94.8
2018,A,high school,92.9,95.6,92,85.2,97.5,90.7,89.1,93.3
1995,A,associate's,33,38.3,22.5,13,---,---,11.6,---
2000,A,associate's,37.7,43.7,26,15.4,---,---,29.7,---
2005,A,associate's,37.3,43.9,26.5,17.3,68.7,17.8,24.4,36.8
2006,A,associate's,37.6,45.1,25.3,16.1,68.6,33.5,18.2,31.6
2007,A,associate's,38.6,45.8,27.3,18.1,68,37.1,14.6,35.3
2008,A,associate's,39.7,47.6,27.6,18.7,66.9,35.3,20.9,33.5
2009,A,associate's,39.3,47.1,27.8,18.4,66.7,20.9,20.8,35.6
2010,A,associate's,41.1,48.9,29.4,20.5,63.4,22,28.9,36.9
2011,A,associate's,42.1,50.1,29.8,20.6,64.6,39.7,25,42
2012,A,associate's,42.8,49.9,31.6,22.7,68.3,32.4,23.6,47.6
2013,A,associate's,43.2,51,29.5,23.1,67.2,37.3,26.3,44.2
2014,A,associate's,44.1,51.9,32,23.4,70.3,---,18.2,40.8
2015,A,associate's,45.7,54,31.1,25.7,71.7,24.9,22.3,38.4
2016,A,associate's,46.1,54.3,31.7,27,71.5,28.6,16.5,41.3
2017,A,associate's,46.1,53.5,32.7,27.7,69.9,35.8,27.1,45.6
2018,A,associate's,46.7,53.6,32.6,30.5,75.5,22.6,24.4,41.5
1920,A,bachelor's,---,4.5,1.2,---,---,---,---,---
1940,A,bachelor's,5.9,6.4,1.6,---,---,---,---,---
1950,A,bachelor's,7.7,8.2,2.8,---,---,---,---,---
1960,A,bachelor's,11,11.8,5.4,---,---,---,---,---
1970,A,bachelor's,16.4,17.3,10,---,---,---,---,---
1980,A,bachelor's,22.5,25,11.6,7.7,---,---,---,---
